Campaign Type,Business Objective,Campaign Description,Offer Duration,Channel,Frequency,Budget
Email Marketing,Increase Sales,Discount on selected items,1 Week,Email,Once,$5000
Social Media,Brand Awareness,New product launch,3 Days,Facebook,Twice a month,$7000
Pay-per-click,Customer Retention,Loyalty program offer,1 Month,Google Ads,Once,$9000
Email Marketing,Increase Sales,BOGO offer,1 Week,Email,Once,$5000
Social Media,Brand Awareness,Celebrity endorsement,3 Days,Instagram,Twice a month,$7000
Pay-per-click,Customer Retention,Loyalty points on purchase,1 Month,Google Ads,Once,$9000
Email Marketing,Customer Retention,Exclusive member deals,1 Month,Email,Once,$5000
Social Media,Increase Sales,Flash sale,2 Weeks,Facebook,Twice a month,$7000
Pay-per-click,Brand Awareness,Collaboration with influencer,5 Days,Google Ads,Once,$9000
Email Marketing,Brand Awareness,Newsletter subscription offer,1 Month,Email,Once,$5000
Social Media,Customer Retention,Behind the scenes content,2 Weeks,Instagram,Twice a month,$7000
Pay-per-click,Increase Sales,Up-sell opportunity,5 Days,Google Ads,Once,$9000
Contact Center Outreach,Customer Support,Assistance on recent purchase,1 Day,Contact Center,Once,$2000
Contact Center Outreach,Feedback Collection,Survey on product quality,2 Days,Contact Center,Once,$2500
Contact Center Outreach,Product Update,Introducing product improvements,1 Week,Contact Center,Once a week,$3500
Contact Center Outreach,New Product Introduction,Briefing on new product line,3 Days,Contact Center,Once,$3000
Contact Center Outreach,Special Offer,Exclusive offer for loyal customers,1 Week,Contact Center,Once,$3500
Contact Center Outreach,Customer Support,Assistance on recent purchase,1 Day,Contact Center,Once,$2000
Contact Center Outreach,Feedback Collection,Survey on product quality,2 Days,Contact Center,Once,$2500
Contact Center Outreach,Product Update,Introducing product improvements,1 Week,Contact Center,Once a week,$3500
